true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,classifier,concept,control,control_val
25339,4119,11900,5174,46532,0.63,0.66,0.8,0.68,0.04,0.83,0.74,0.6,0.59,0.07,-0.03,0.93,0.72,0.01,,refactor_mle_avg_better,commit_period_avg_better,age_group,Pre GitHub
24644,4702,12595,4591,46532,0.63,0.63,0.8,0.66,0.05,0.84,0.73,0.59,0.58,0.09,0.0,0.95,0.72,0.01,,refactor_mle_avg_better,commit_days_avg_better,age_group,Pre GitHub
19759,7287,11534,7952,46532,0.58,0.6,0.67,0.63,0.06,0.71,0.61,0.5,0.53,0.09,-0.02,0.97,0.91,0.01,,commit_hours_better,message_length_avg_better,age_group,Pre GitHub
26389,4389,4904,10850,46532,0.66,0.8,0.67,0.84,0.05,0.71,0.53,0.63,0.6,0.1,-0.17,0.72,0.91,0.02,,commit_hours_better,refactor_mle_avg_better,age_group,Pre GitHub
31274,20,19,15219,46532,0.67,1.0,0.67,1.0,0.0,0.67,0.49,0.67,0.67,0.0,-0.33,0.01,0.91,0.0,,commit_hours_better,owned_repository_avg_better,age_group,Pre GitHub
25245,10213,6048,5026,46532,0.76,0.65,0.67,0.81,0.24,0.83,0.37,0.7,0.55,0.38,0.17,0.93,0.91,0.16,,commit_hours_better,files_edited_avg_better,age_group,Pre GitHub
24871,4184,6422,11055,46532,0.62,0.77,0.67,0.79,0.03,0.69,0.61,0.59,0.59,0.05,-0.19,0.77,0.91,0.0,,commit_hours_better,ccp_avg_better,age_group,Pre GitHub
16220,8018,15073,7221,46532,0.52,0.5,0.67,0.52,0.03,0.69,0.65,0.42,0.5,0.04,0.03,1.0,0.91,0.0,,commit_hours_better,same_date_duration_avg_avg_better,age_group,Pre GitHub
25553,10279,5740,4960,46532,0.77,0.66,0.67,0.82,0.25,0.84,0.36,0.7,0.55,0.39,0.17,0.93,0.91,0.17,,commit_hours_better,commit_period_avg_better,age_group,Pre GitHub
26711,12715,4582,2524,46532,0.85,0.63,0.67,0.85,0.36,0.91,0.26,0.79,0.54,0.56,0.35,0.95,0.91,0.34,,commit_hours_better,commit_days_avg_better,age_group,Pre GitHub
497490,70703,37355,457308,1062856,0.53,0.9,0.5,0.93,0.04,0.52,0.35,0.5,0.5,0.06,-0.4,0.47,1.0,0.01,,message_length_avg_better,refactor_mle_avg_better,language_code,0
309297,264690,225548,263321,1062856,0.54,0.54,0.5,0.58,0.07,0.54,0.46,0.39,0.5,0.08,0.0,1.0,1.0,0.0,,message_length_avg_better,commit_hours_better,language_code,0
534551,216,294,527795,1062856,0.5,1.0,0.5,1.0,-0.0,0.5,0.58,0.5,0.5,-0.0,-0.5,0.01,1.0,0.0,,message_length_avg_better,owned_repository_avg_better,language_code,0
334763,237458,200082,290553,1062856,0.54,0.59,0.5,0.63,0.06,0.54,0.46,0.41,0.5,0.08,-0.08,0.98,1.0,0.0,,message_length_avg_better,files_edited_avg_better,language_code,0
