cases,developers,a_Is_Company,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
1603,119,true,0,1,0,0,0,1,0,0,0,1,0
1840,120,true,1,0,0,0,0,1,1,1,1,0,0
1631,120,false,1,1,0,0,0,1,0,1,0,1,0
1831,124,true,1,1,0,0,0,1,1,0,0,1,0
639,124,false,1,1,0,0,0,1,0,0,1,1,0
963,125,false,1,1,0,0,0,1,1,0,0,0,0
725,127,false,1,1,0,0,0,1,0,0,0,1,0
1612,128,false,1,1,0,0,0,1,1,1,0,0,0
967,131,true,1,0,0,0,0,1,0,1,1,1,0
1269,132,false,0,1,0,0,0,1,0,1,1,1,0
1790,134,false,0,1,0,0,0,1,0,1,0,1,0
828,134,false,0,0,0,0,0,1,0,1,0,1,0
3267,140,true,0,1,0,0,0,1,1,1,0,0,0
1349,140,false,1,1,0,0,0,1,0,1,1,1,0
4010,144,true,1,1,0,0,0,1,1,0,1,0,0
759,144,true,0,0,0,0,0,1,0,0,0,1,0
1653,144,false,0,1,0,0,0,1,1,1,0,0,0
2635,145,true,0,0,0,0,0,1,1,1,0,0,0
789,146,false,0,1,0,0,0,1,0,0,0,0,0
1789,149,true,1,0,0,0,0,1,0,1,0,1,0
2592,149,true,1,1,0,0,0,1,1,1,0,0,0
2206,406,true,0,0,0,0,0,1,0,0,1,0,0
1657,151,false,0,1,0,0,0,1,1,1,1,0,0
3566,152,true,1,1,0,0,0,1,1,1,1,0,0
4305,152,true,1,1,0,0,0,1,1,0,0,0,0
1416,154,false,1,1,0,0,0,1,1,1,1,0,0
664,155,true,0,0,0,0,0,1,0,0,1,1,0
570,165,true,1,0,0,0,0,1,0,0,1,1,0
1540,167,true,1,1,0,0,0,1,0,1,1,1,0
1453,170,true,1,1,0,0,0,1,0,1,0,1,0
2266,171,true,1,1,0,0,0,1,0,0,1,1,0
