metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,License Type_code
refactor_mle,305,378,198,280,1161,0.59,0.5,0.43,0.61,0.2,0.52,0.34,0.39,0.5,0.18,0.17,1.0,0.99,0.02,,7.0
refactor_mle,40865,211871,23452,272241,548429,0.46,0.57,0.12,0.64,0.11,0.13,0.1,0.12,0.45,0.03,-0.19,0.99,0.52,0.0,,8.0
refactor_mle,600,790,380,753,2523,0.55,0.54,0.39,0.61,0.14,0.44,0.32,0.35,0.49,0.12,0.03,1.0,0.96,0.01,,9.0
refactor_mle,2805,2318,1891,2609,9623,0.53,0.56,0.49,0.6,0.06,0.52,0.45,0.38,0.5,0.07,-0.05,0.99,1.0,0.0,,10.0
same_date_duration_avg,8903,7806,8133,9773,34615,0.48,0.54,0.49,0.52,-0.03,0.48,0.51,0.33,0.5,-0.03,-0.11,1.0,1.0,0.0,,-1.0
same_date_duration_avg,47769,40535,35716,61053,185073,0.48,0.59,0.45,0.57,-0.03,0.44,0.47,0.33,0.49,-0.03,-0.19,0.98,0.99,0.0,,0.0
same_date_duration_avg,202,153,178,190,723,0.49,0.54,0.53,0.53,-0.02,0.52,0.54,0.35,0.5,-0.02,-0.09,0.99,1.0,0.0,,1.0
same_date_duration_avg,4936,4121,4517,5830,19404,0.47,0.55,0.49,0.52,-0.06,0.46,0.52,0.32,0.5,-0.06,-0.16,0.99,1.0,0.0,,2.0
same_date_duration_avg,11620,27354,12542,20797,72313,0.54,0.45,0.33,0.48,0.07,0.36,0.31,0.26,0.52,0.04,-0.02,0.99,0.92,0.0,,3.0
same_date_duration_avg,9594,9082,9270,10769,38715,0.48,0.53,0.49,0.51,-0.03,0.47,0.51,0.32,0.5,-0.03,-0.08,1.0,1.0,0.0,,4.0
same_date_duration_avg,966,1022,1197,1180,4365,0.46,0.49,0.5,0.45,-0.09,0.45,0.54,0.29,0.5,-0.09,-0.1,1.0,1.0,0.01,,5.0
same_date_duration_avg,865,865,1052,960,3742,0.46,0.49,0.51,0.45,-0.07,0.47,0.55,0.3,0.5,-0.07,-0.1,1.0,1.0,0.0,,6.0
same_date_duration_avg,282,276,300,303,1161,0.48,0.5,0.5,0.48,-0.04,0.48,0.52,0.32,0.5,-0.04,-0.05,1.0,1.0,0.0,,7.0
same_date_duration_avg,151137,113487,121836,161969,548429,0.48,0.57,0.5,0.55,-0.03,0.48,0.52,0.35,0.5,-0.03,-0.15,0.99,1.0,0.0,,8.0
same_date_duration_avg,688,533,637,665,2523,0.48,0.54,0.53,0.52,-0.03,0.51,0.54,0.35,0.5,-0.04,-0.1,1.0,1.0,0.0,,9.0
same_date_duration_avg,2530,2124,2085,2884,9623,0.48,0.56,0.48,0.55,-0.03,0.47,0.5,0.34,0.5,-0.03,-0.14,0.99,1.0,0.0,,10.0
